cnpj,razao_social,municipio,uf,cnae,score,score_label,contact_quality,site,instagram,linkedin_company,google_maps_url,tech_score,whatsapp_probable,has_whatsapp_link
84992551000179,84992551000179,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84992551000179++,,False,
84994904000170,84994904000170,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84994904000170++,,False,
85006435000104,85006435000104,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85006435000104++,,False,
85013423000107,85013423000107,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85013423000107++,,False,
85014710000123,85014710000123,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85014710000123++,,False,
85043768000103,85043768000103,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85043768000103++,,False,
85046175000192,85046175000192,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85046175000192++,,False,
85046910000168,85046910000168,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85046910000168++,,False,
85049054000102,85049054000102,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85049054000102++,,False,
85052512000154,85052512000154,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85052512000154++,,False,
85052645000120,85052645000120,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85052645000120++,,False,
85057982000100,85057982000100,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85057982000100++,,False,
85062099000109,85062099000109,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85062099000109++,,False,
85063709000199,85063709000199,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85063709000199++,,False,
85065530000170,85065530000170,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85065530000170++,,False,
85066900000194,85066900000194,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85066900000194++,,False,
85069862000123,85069862000123,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85069862000123++,,False,
85070068000108,85070068000108,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85070068000108++,,False,
85070068005401,85070068005401,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85070068005401++,,False,
85070068005754,85070068005754,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85070068005754++,,False,
85070068005916,85070068005916,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85070068005916++,,False,
85073559000285,85073559000285,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85073559000285++,,False,
85078053000188,85078053000188,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=85078053000188++,,False,
